email,password,first_name,last_name,phone,address,city,zip_code,country,date_joined,pet_name,pet_type,pet_gender,pet_breed,pet_neutered,pet_age_category,pet_age_years,pet_age_months,pet_age_weeks,pet_weight,pet_body_type,pet_activity_level,pet_food_types,pet_food_feeling,pet_food_importance,pet_treat_frequency,pet_food_allergies,pet_health_issues
mia.lopez0209@hotmail.com,Milo71@2025q,Mia,Lopez,+1 (378) 326-5841,Cedar Rd 217,Seattle,15259,United States,2025-10-04T18:07:14,,,,,,,,,,,,,,,,,,
yagmur.aslan0210@gmail.com,Yaas91$2025s,Yağmur,Aslan,+90 5294 619 91 41,Bağdat Cd 108,Üsküdar,52912,Turkey,2025-11-21T10:34:34,,,,,,,,,,,,,,,,,,
anna.devries0211@outlook.com,Ande46!2025f,Anna,de Vries,+31 6 79508387,Coolsingel 263,Rotterdam,3478 PG,Netherlands,2025-09-17T22:45:01,Max,Dog,Boy,Border Collie,true,A Mature Dog,6.0,9.0,0.0,26.9,Just right,Full of energy,"Dry,Raw,Wet",Very fussy,Tasty and enjoyable,Doesn't eat any,Nothing,No Health Issues
eero.heinonen0212@gmail.com,Eehe44@2025q,Eero,Heinonen,+358 42 549 9423,Hämeenkatu 54,Oulu,99770,Finland,2025-12-15T22:20:03,,,,,,,,,,,,,,,,,,
abigail.hernandez0213@icloud.com,Abhe27@2025f,Abigail,Hernandez,+1 (251) 541-3281,Broadway 76,Austin,67587,United States,2025-10-10T16:50:54,,,,,,,,,,,,,,,,,,
milad.mollaei0214@yahoo.com,Mimo64$2025o,Milad,Mollaei,+98 974 659 9825,Niavaran St 214,Tehran,16509-90485,Iran,2025-11-01T14:36:20,Bella,Cat,Girl,Norwegian Forest Cat,false,An Adult Cat,2.0,9.0,0.0,4.0,Just right,Very active,"Dry,Home-Cooked",Very fussy,Made with top-quality ingredients,Doesn't eat any,Pork,No Health Issues
sina.soltani0215@outlook.com,Siso58@2025a,Sina,Soltani,+98 976 534 4244,Azadi St 244,Qom,92306-36118,Iran,2025-11-04T22:20:40,Cooper,Dog,Girl,Rottweiler,false,Puppy,0.0,9.0,3.0,10.9,Ideal,A serial snoozer,Dry,Can be fussy,Great value,Has some,Nothing,No Health Issues
hossein.ghaffari0216@outlook.com,Hogh13#2025d,Hossein,Ghaffari,+98 970 947 8591,Mirdamad Blvd 141,Shiraz,57558-48291,Iran,2025-10-21T17:31:00,Molly,Dog,Girl,Beagle,true,Puppy,0.0,5.0,3.0,20.5,A little skinny,Active,"Dry,Raw",A good eater,Made with top-quality ingredients,Has some,"Lamb,Pearl barley",No Health Issues
roya.mohammadi0217@gmail.com,Romo42#2025h,Roya,Mohammadi,+98 976 514 9593,Azadi St 152,Isfahan,45964-38436,Iran,2025-12-04T12:44:49,,,,,,,,,,,,,,,,,,
kian.rahimi0218@gmail.com,Kira50!2024v,Kian,Rahimi,+98 996 550 3924,Mirdamad Blvd 158,Isfahan,96624-13073,Iran,2025-12-15T15:52:12,Rocky,Dog,Boy,Shih Tzu,false,A Senior Dog,8.0,9.0,0.0,24.1,Ideal,Very active,"Raw,Wet",Can be fussy,Supports full-body health,Doesn't eat any,"Fish,Lamb",No Health Issues
jasper.jansen0219@outlook.com,Jaja66$2024m,Jasper,Jansen,+31 6 28083289,Damrak 21,Rotterdam,5760 MV,Netherlands,2025-10-06T21:12:46,Simba,Cat,Girl,Russian Blue,true,An Adult Cat,1.0,8.0,0.0,7.3,A little skinny,Active,Wet,Very fussy,Great value,Has some,Nothing,No Health Issues
mert.ucar0220@outlook.com,Meua99!2024d,Mert,Uçar,+90 5182 170 30 51,İstiklal Cd 208,Bursa,71143,Turkey,2025-10-02T20:05:20,,,,,,,,,,,,,,,,,,
zehra.yildiz0221@outlook.com,Zeyl63#2025k,Zehra,Yıldız,+90 5178 629 95 72,Bağdat Cd 279,Istanbul,16556,Turkey,2025-10-13T13:20:12,,,,,,,,,,,,,,,,,,
omid.hosseini0222@yahoo.com,Omho31@2025e,Omid,Hosseini,+98 924 134 2617,Sattarkhan St 261,Isfahan,32544-23462,Iran,2025-10-27T12:17:39,Sushi,Cat,Boy,Maine Coon,true,An Adult Cat,4.0,2.0,0.0,3.4,Just right,Very active,"Dry,Home-Cooked,Wet",A good eater,Tasty and enjoyable,Has some,"Dairy,Lamb",No Health Issues
zehra.avci0223@icloud.com,Zeav27@2024k,Zehra,Avcı,+90 5017 422 49 49,İnönü Cd 194,Bursa,84885,Turkey,2025-09-15T19:18:17,Loki,Dog,Girl,Siberian Husky,true,A Mature Dog,1.0,11.0,0.0,4.1,Ideal,Active,"Home-Cooked,Wet",Can be fussy,Great value,Has some,Nothing,No Health Issues
jussi.korhonen0224@icloud.com,Juko37$2024z,Jussi,Korhonen,+358 48 838 5329,Eerikinkatu 79,Helsinki,26751,Finland,2025-10-27T18:26:53,Luna,Cat,Boy,Oriental Shorthair,false,Kitten,0.0,8.0,3.0,2.6,A bit chubby,Full of energy,"Dry,Home-Cooked",A good eater,Supports full-body health,Doesn't eat any,Nothing,No Health Issues
golnaz.kiani0225@gmail.com,Goki46#2025b,Golnaz,Kiani,+98 979 342 7141,Niavaran St 64,Mashhad,87342-87011,Iran,2025-11-16T09:00:46,Leo,Cat,Boy,Labrador,true,An Aged Cat,8.0,0.0,0.0,3.6,Just right,Very active,"Dry,Raw,Wet",A foodie,Great value,Doesn't eat any,"Duck,Lamb",No Health Issues
isabella.anderson0226@outlook.com,Isan76!2024p,Isabella,Anderson,+1 (759) 569-6700,Maple St 41,Chicago,25471,United States,2025-10-07T10:40:40,,,,,,,,,,,,,,,,,,
zehra.kaya0227@icloud.com,Zeka95#2024y,Zehra,Kaya,+90 5151 995 65 24,Turan Güneş Blv 141,Üsküdar,58664,Turkey,2025-10-18T22:00:25,,,,,,,,,,,,,,,,,,
sophia.rodriguez0228@hotmail.com,Soro60!2024g,Sophia,Rodriguez,+1 (215) 215-5899,Main St 47,Seattle,22726,United States,2025-11-02T19:49:41,,,,,,,,,,,,,,,,,,
oskari.hiltunen0229@gmail.com,Oshi27!2024d,Oskari,Hiltunen,+358 48 763 4383,Aleksanterinkatu 73,Helsinki,54048,Finland,2025-11-04T08:56:53,,,,,,,,,,,,,,,,,,
hamid.hajizadeh0230@outlook.com,Haha46!2025f,Hamid,Hajizadeh,+98 943 764 4159,Azadi St 97,Shiraz,62313-84517,Iran,2025-11-15T21:04:07,,,,,,,,,,,,,,,,,,
atena.ghasemi0231@yahoo.com,Atgh77@2025g,Atena,Ghasemi,+98 934 500 1399,Valiasr St 123,Karaj,50430-93907,Iran,2025-10-04T20:43:55,,,,,,,,,,,,,,,,,,
tess.bakker0232@gmail.com,Teba48#2024m,Tess,Bakker,+31 6 84922792,Witte de Withstraat 137,The Hague,7917 YI,Netherlands,2025-11-14T21:14:06,,,,,,,,,,,,,,,,,,
mert.aslan0233@gmail.com,Meas70$2024k,Mert,Aslan,+90 5274 927 90 78,İstiklal Cd 18,Ankara,41869,Turkey,2025-11-22T21:51:18,Daisy,Dog,Girl,Cocker Spaniel,true,Puppy,0.0,8.0,2.0,13.8,A bit chubby,Active,"Dry,Raw",Can be fussy,Great value,Has some,Nothing,"Cushing's disease,Joint problems"
reza.shokri0234@yahoo.com,Resh69@2025e,Reza,Shokri,+98 937 135 4384,Niavaran St 43,Mashhad,58771-69986,Iran,2025-12-15T11:50:12,,,,,,,,,,,,,,,,,,
umut.sezer0235@gmail.com,Umse94$2024e,Umut,Sezer,+90 5184 577 77 56,Turan Güneş Blv 19,Bursa,56719,Turkey,2025-11-09T19:03:37,,,,,,,,,,,,,,,,,,
yasaman.nouri0236@yahoo.com,Yano82#2024w,Yasaman,Nouri,+98 919 479 6155,Pasdaran Ave 227,Karaj,40586-89303,Iran,2025-12-13T14:06:43,Daisy,Dog,Boy,Border Collie,false,A Senior Dog,13.0,2.0,0.0,18.9,Ideal,Full of energy,"Home-Cooked,Wet",Can be fussy,Tasty and enjoyable,Has lots,Nothing,"Heart condition,Joint problems"
ali.nouri0237@outlook.com,Alno71!2024v,Ali,Nouri,+98 929 578 9075,Sattarkhan St 48,Qom,94592-76849,Iran,2025-11-04T19:12:31,,,,,,,,,,,,,,,,,,
derya.cetin0238@outlook.com,Deet20@2025x,Derya,Çetin,+90 5232 185 41 62,Cumhuriyet Cd 274,Kadıköy,13759,Turkey,2025-12-08T12:59:23,,,,,,,,,,,,,,,,,,
farhad.mollaei0239@gmail.com,Famo75@2024v,Farhad,Mollaei,+98 932 422 4124,Pasdaran Ave 156,Qom,70157-22763,Iran,2025-11-25T22:20:31,,,,,,,,,,,,,,,,,,
mehmet.simsek0240@gmail.com,Meim38!2025l,Mehmet,Şimşek,+90 5278 412 48 60,İnönü Cd 185,Izmir,85460,Turkey,2025-10-27T22:21:53,Rocky,Dog,Girl,Siberian Husky,true,A Mature Dog,4.0,7.0,0.0,29.7,A bit chubby,Active,Home-Cooked,Can be fussy,Tasty and enjoyable,Has lots,Nothing,No Health Issues
sude.avci0241@icloud.com,Suav17!2025a,Sude,Avcı,+90 5454 369 65 55,İnönü Cd 218,Ankara,38498,Turkey,2025-09-23T20:31:26,,,,,,,,,,,,,,,,,,
irene.silva0242@icloud.com,Irsi77#2024e,Irene,Silva,+33 6 74 45 56 60,Bahnhofstraße 143,Paris,86118,European Union,2025-10-20T20:30:55,,,,,,,,,,,,,,,,,,
laura.rossi0243@gmail.com,Laro66@2024a,Laura,Rossi,+33 6 83 63 22 65,Bahnhofstraße 171,Barcelona,60361,European Union,2025-09-29T23:33:35,,,,,,,,,,,,,,,,,,
antti.virtanen0244@icloud.com,Anvi41#2024k,Antti,Virtanen,+358 44 989 2529,Aleksanterinkatu 97,Turku,59967,Finland,2025-10-29T20:42:26,Bella,Cat,Girl,Maine Coon,true,An Aged Cat,14.0,9.0,0.0,3.4,A bit chubby,A serial snoozer,Home-Cooked,A good eater,Tasty and enjoyable,Doesn't eat any,Nothing,"Malabsorption,Struvite stones"
ehsan.sadeghi0245@outlook.com,Ehsa38$2024h,Ehsan,Sadeghi,+98 956 930 3474,Azadi St 155,Mashhad,98935-92007,Iran,2025-11-27T18:40:44,,,,,,,,,,,,,,,,,,
reza.mohammadi0246@outlook.com,Remo46@2024f,Reza,Mohammadi,+98 996 822 5930,Mirdamad Blvd 28,Tehran,35984-14786,Iran,2025-11-13T16:31:36,,,,,,,,,,,,,,,,,,
kian.taheri0247@yahoo.com,Kita43$2025c,Kian,Taheri,+98 971 591 1946,Enghelab Ave 150,Tabriz,44685-89748,Iran,2025-11-13T20:01:17,Leo,Cat,Boy,Russian Blue,true,An Aged Cat,10.0,7.0,0.0,6.7,A little skinny,A serial snoozer,"Home-Cooked,Wet",A good eater,Great value,Has lots,Nothing,Sensitive stomach
atena.azizi0248@gmail.com,Ataz19#2024y,Atena,Azizi,+98 999 287 9489,Pasdaran Ave 286,Qom,87586-17869,Iran,2025-11-30T21:43:33,,,,,,,,,,,,,,,,,,
liam.anderson0249@outlook.com,Lian80@2024y,Liam,Anderson,+1 (936) 808-9351,Broadway 38,Boston,59758,United States,2025-12-02T22:19:35,Oliver,Cat,Girl,Scottish Fold,true,Kitten,0.0,3.0,0.0,2.3,Just right,Somewhat active,Dry,Very fussy,Made with top-quality ingredients,Has lots,Nothing,Diabetes
